race_id,race_date,venue,race_number,race_name,grade,distance,surface,track_condition,weather,horse_number,gate_number,horse_name,horse_id,sex_age,weight,jockey_name,jockey_id,trainer_name,odds,popularity,finish_position,finish_time,last_3f,horse_weight,horse_weight_diff,corner_positions
20250101TOK11,2025-01-05,東京,11,初夢ステークス,3勝,1600,芝,良,晴,1,1,ゴールドフラッシュ,H001,牡4,57.0,田中一郎,J001,山田太郎,3.5,1,1,95.2,34.1,480,2,3-3-2-1
20250101TOK11,2025-01-05,東京,11,初夢ステークス,3勝,1600,芝,良,晴,2,1,シルバーウィンド,H002,牡5,57.0,鈴木次郎,J002,佐藤花子,8.2,4,2,95.5,34.3,472,-4,5-5-4-3
20250101TOK11,2025-01-05,東京,11,初夢ステークス,3勝,1600,芝,良,晴,3,2,レッドブレイズ,H003,牝4,55.0,高橋三郎,J003,中村一男,5.1,2,3,95.7,34.5,448,0,2-2-3-2
20250101TOK11,2025-01-05,東京,11,初夢ステークス,3勝,1600,芝,良,晴,4,2,ブルーオーシャン,H004,牡4,57.0,伊藤四郎,J004,小林二郎,6.8,3,4,95.9,34.8,492,6,1-1-1-4
20250101TOK11,2025-01-05,東京,11,初夢ステークス,3勝,1600,芝,良,晴,5,3,グリーンフォレスト,H005,牡3,55.0,渡辺五郎,J005,加藤三子,12.4,5,5,96.1,34.6,460,-2,7-7-5-5
20250101TOK11,2025-01-05,東京,11,初夢ステークス,3勝,1600,芝,良,晴,6,3,パープルヘイズ,H006,牝3,53.0,松本六助,J006,吉田四郎,25.3,8,6,96.4,35.0,432,4,4-4-6-6
20250101TOK11,2025-01-05,東京,11,初夢ステークス,3勝,1600,芝,良,晴,7,4,ホワイトスノー,H007,牡5,57.0,木村七男,J007,山本五子,18.6,6,7,96.8,35.2,498,-8,6-6-7-7
20250101TOK11,2025-01-05,東京,11,初夢ステークス,3勝,1600,芝,良,晴,8,4,ダークシャドウ,H008,牡6,57.0,林八郎,J008,松田六助,22.1,7,8,97.0,35.5,510,0,8-8-8-8
20250112TOK10,2025-01-12,東京,10,冬枯れ賞,2勝,2000,芝,良,曇,1,1,ゴールドフラッシュ,H001,牡4,57.0,田中一郎,J001,山田太郎,2.8,1,2,121.5,34.8,482,2,4-4-3-2
20250112TOK10,2025-01-12,東京,10,冬枯れ賞,2勝,2000,芝,良,曇,2,1,レッドブレイズ,H003,牝4,55.0,高橋三郎,J003,中村一男,4.5,2,1,121.3,34.2,450,2,2-2-2-1
20250112TOK10,2025-01-12,東京,10,冬枯れ賞,2勝,2000,芝,良,曇,3,2,ブルーオーシャン,H004,牡4,57.0,伊藤四郎,J004,小林二郎,6.2,3,3,121.8,35.0,494,2,1-1-1-3
20250112TOK10,2025-01-12,東京,10,冬枯れ賞,2勝,2000,芝,良,曇,4,2,グリーンフォレスト,H005,牡3,55.0,渡辺五郎,J005,加藤三子,9.8,4,5,122.3,35.1,458,-2,6-6-5-5
20250112TOK10,2025-01-12,東京,10,冬枯れ賞,2勝,2000,芝,良,曇,5,3,スターライトノヴァ,H009,牡4,57.0,斎藤九一,J009,井上七子,11.5,5,4,122.0,34.6,470,0,3-3-4-4
20250112TOK10,2025-01-12,東京,10,冬枯れ賞,2勝,2000,芝,良,曇,6,3,サンダーボルト,H010,牡5,57.0,岡田十郎,J010,藤田八男,15.2,6,6,122.5,35.3,504,4,5-5-6-6
20250119NAK11,2025-01-19,中山,11,睦月賞,OP,1200,芝,稍重,小雨,1,1,シルバーウィンド,H002,牡5,57.0,鈴木次郎,J002,佐藤花子,4.1,2,1,70.8,35.0,468,-4,1-1-1
20250119NAK11,2025-01-19,中山,11,睦月賞,OP,1200,芝,稍重,小雨,2,1,パープルヘイズ,H006,牝3,53.0,松本六助,J006,吉田四郎,3.2,1,3,71.2,35.5,434,2,3-3-3
20250119NAK11,2025-01-19,中山,11,睦月賞,OP,1200,芝,稍重,小雨,3,2,ホワイトスノー,H007,牡5,57.0,木村七男,J007,山本五子,8.5,3,2,71.0,35.2,496,-2,2-2-2
20250119NAK11,2025-01-19,中山,11,睦月賞,OP,1200,芝,稍重,小雨,4,2,ダークシャドウ,H008,牡6,57.0,林八郎,J008,松田六助,12.3,4,4,71.5,35.8,508,-2,4-4-4
20250119NAK11,2025-01-19,中山,11,睦月賞,OP,1200,芝,稍重,小雨,5,3,ルビードリーム,H011,牝4,55.0,田中一郎,J001,山田太郎,15.0,5,5,71.8,36.0,440,0,5-5-5
20250119NAK11,2025-01-19,中山,11,睦月賞,OP,1200,芝,稍重,小雨,6,3,エメラルドスカイ,H012,牡3,55.0,渡辺五郎,J005,加藤三子,20.1,6,6,72.2,36.2,466,4,6-6-6
20250202HAN11,2025-02-02,阪神,11,節分ステークス,G3,2000,芝,良,晴,1,1,ゴールドフラッシュ,H001,牡4,57.0,田中一郎,J001,山田太郎,4.2,2,1,119.8,33.8,484,2,3-3-2-1
20250202HAN11,2025-02-02,阪神,11,節分ステークス,G3,2000,芝,良,晴,2,1,レッドブレイズ,H003,牝4,55.0,高橋三郎,J003,中村一男,3.1,1,2,120.0,33.9,452,2,2-2-1-2
20250202HAN11,2025-02-02,阪神,11,節分ステークス,G3,2000,芝,良,晴,3,2,スターライトノヴァ,H009,牡4,57.0,斎藤九一,J009,井上七子,7.5,3,3,120.3,34.2,472,2,4-4-3-3
20250202HAN11,2025-02-02,阪神,11,節分ステークス,G3,2000,芝,良,晴,4,2,サンダーボルト,H010,牡5,57.0,岡田十郎,J010,藤田八男,9.8,4,5,120.8,34.8,506,2,1-1-4-5
20250202HAN11,2025-02-02,阪神,11,節分ステークス,G3,2000,芝,良,晴,5,3,ルビードリーム,H011,牝4,55.0,鈴木次郎,J002,佐藤花子,12.0,5,4,120.5,34.5,442,2,5-5-5-4
20250202HAN11,2025-02-02,阪神,11,節分ステークス,G3,2000,芝,良,晴,6,3,エメラルドスカイ,H012,牡3,55.0,渡辺五郎,J005,加藤三子,18.5,6,6,121.0,35.0,468,2,6-6-6-6
20250202HAN11,2025-02-02,阪神,11,節分ステークス,G3,2000,芝,良,晴,7,4,オパールムーン,H013,牝5,55.0,松本六助,J006,吉田四郎,25.0,7,7,121.5,35.3,456,0,7-7-7-7
20250202HAN11,2025-02-02,阪神,11,節分ステークス,G3,2000,芝,良,晴,8,4,トパーズサン,H014,牡4,57.0,木村七男,J007,山本五子,30.2,8,8,122.0,35.8,488,-4,8-8-8-8
20250216TOK11,2025-02-16,東京,11,如月賞,2勝,1800,ダート,良,晴,1,1,ダークシャドウ,H008,牡6,57.0,林八郎,J008,松田六助,3.8,1,1,111.2,36.5,510,2,2-2-1-1
20250216TOK11,2025-02-16,東京,11,如月賞,2勝,1800,ダート,良,晴,2,1,ブルーオーシャン,H004,牡4,57.0,伊藤四郎,J004,小林二郎,5.5,2,2,111.5,36.8,496,2,1-1-2-2
20250216TOK11,2025-02-16,東京,11,如月賞,2勝,1800,ダート,良,晴,3,2,サンダーボルト,H010,牡5,57.0,岡田十郎,J010,藤田八男,6.2,3,3,111.8,37.0,508,2,3-3-3-3
20250216TOK11,2025-02-16,東京,11,如月賞,2勝,1800,ダート,良,晴,4,2,グリーンフォレスト,H005,牡3,55.0,渡辺五郎,J005,加藤三子,8.0,4,4,112.2,37.2,462,2,4-4-4-4
20250216TOK11,2025-02-16,東京,11,如月賞,2勝,1800,ダート,良,晴,5,3,トパーズサン,H014,牡4,57.0,木村七男,J007,山本五子,15.0,5,5,112.8,37.5,486,-2,5-5-5-5
